bp,m_chi_GeV,m_phi_MeV,alpha,lambda,kappa,v_km_s,sigma_maj,sigma_dir,R,n_resonances,res_even,res_odd,dominant_l,n_partialwaves
MAP,98.19,9.66,0.003274,33.27888819875776,0.3769138848141893,22.233237197955056,1.5492142364009542,1.073337006665364,1.4433623612904602,0,0,0,0,19
MAP,98.19,9.66,0.003274,33.27888819875776,0.4297467659657053,25.34972089839528,1.6696939639398063,1.0409603351871384,1.603993838669787,0,0,0,0,22
MAP,98.19,9.66,0.003274,33.27888819875776,0.4899853528851216,28.903049245822068,1.772809818549829,1.0037809081434252,1.7661322348009045,1,1,0,0,25
MAP,98.19,9.66,0.003274,33.27888819875776,0.5586677202851053,32.95445575336882,1.8454604288819674,0.9630643104302091,1.9162380008221718,1,1,0,0,28
MAP,98.19,9.66,0.003274,33.27888819875776,0.6369774521846403,37.573757175732034,1.8792089412129007,0.9208862840335507,2.040652547219864,1,1,0,1,32
MAP,98.19,9.66,0.003274,33.27888819875776,0.7262640382812416,42.84055664176922,1.8702916673408478,0.8785426564731401,2.1288569810019564,0,0,0,1,37
MAP,98.19,9.66,0.003274,33.27888819875776,0.8280661293293032,48.84561543294423,1.8203083797548505,0.8362792251022458,2.1766753556891176,0,0,0,1,42
MAP,98.19,9.66,0.003274,33.27888819875776,0.944138052278012,55.692417047094395,1.7361021542015553,0.7939212898753635,2.186743416937595,0,0,0,1,48
MAP,98.19,9.66,0.003274,33.27888819875776,1.0764800420967695,63.49895050059221,1.6280456733843576,0.7514103893344735,2.1666531318875197,0,0,0,1,54
MAP,98.19,9.66,0.003274,33.27888819875776,1.2273727112647286,72.39974360004953,1.5075721948585783,0.7088880418514978,2.1266717815143985,1,0,1,1,55
MAP,98.19,9.66,0.003274,33.27888819875776,1.3994163509274884,82.54818122236567,1.385063662497932,0.6665742724986113,2.077883470218718,1,0,1,2,55
MAP,98.19,9.66,0.003274,33.27888819875776,1.5955757409868083,94.1191485533916,1.2684228832472213,0.6246833342843365,2.0305053995083444,0,0,0,2,55
MAP,98.19,9.66,0.003274,33.27888819875776,1.8192312413230611,107.31204483540202,1.162276182404576,0.5834058063634979,1.9922259424350088,0,0,0,2,55
MAP,98.19,9.66,0.003274,33.27888819875776,2.0742370445911713,122.35421955844241,1.0679084378690853,0.5429121194211466,1.967000550674187,1,1,0,2,56
MAP,98.19,9.66,0.003274,33.27888819875776,2.3649875944441727,139.50489031047482,0.9840144714115543,0.5033551132344614,1.9549110469713322,1,1,0,3,56
MAP,98.19,9.66,0.003274,33.27888819875776,2.6964933137510534,159.0596098015386,0.9079841534676083,0.46487190188926114,1.953192158479612,1,1,0,3,56
MAP,98.19,9.66,0.003274,33.27888819875776,3.0744669478120503,181.3553590409013,0.8371479611928734,0.4275835705761765,1.9578581096200716,0,0,0,3,57
MAP,98.19,9.66,0.003274,33.27888819875776,3.5054220104998963,206.7763544364993,0.7695674356751601,0.391597099517177,1.9652020830185024,1,0,1,3,57
MAP,98.19,9.66,0.003274,33.27888819875776,3.996785029821799,235.7606688887855,0.7042318120820703,0.35700440002315026,1.9726138166263603,1,0,1,4,57
MAP,98.19,9.66,0.003274,33.27888819875776,4.557023527198545,268.80778097844393,0.6408945100761964,0.32388670019725396,1.9787614301108314,1,0,1,4,58
MAP,98.19,9.66,0.003274,33.27888819875776,5.195791935891775,306.48718234100744,0.5797348304274119,0.2923129895963729,1.9832674258776948,2,1,1,4,59
MAP,98.19,9.66,0.003274,33.27888819875776,5.92409797315093,349.4481915568608,0.5211066450718217,0.2623411600343663,1.986370133468791,1,1,0,5,59
MAP,98.19,9.66,0.003274,33.27888819875776,6.75449233312447,398.43114367664646,0.4653532134536445,0.23402067134347518,1.98851328295969,1,1,0,5,60
