v_km_s,sigma_m_BP1,eta_BP1,sigma_m_MAP,eta_MAP
918.1558,8.431522e-02,-1.5706,2.887322e-01,-1.0210
931.9079,8.236367e-02,-1.5796,2.843699e-01,-1.0275
945.8660,8.044662e-02,-1.5885,2.800444e-01,-1.0340
960.0331,7.856394e-02,-1.5972,2.757599e-01,-1.0406
974.4125,7.671547e-02,-1.6056,2.715123e-01,-1.0473
989.0072,7.490130e-02,-1.6140,2.673052e-01,-1.0539
1003.8205,7.312071e-02,-1.6224,2.631360e-01,-1.0608
1018.8556,7.137373e-02,-1.6306,2.590052e-01,-1.0677
1034.1160,6.966010e-02,-1.6386,2.549132e-01,-1.0746
1049.6050,6.797958e-02,-1.6465,2.508600e-01,-1.0813
1065.3259,6.633190e-02,-1.6543,2.468478e-01,-1.0883
1081.2823,6.471675e-02,-1.6619,2.428723e-01,-1.0957
1097.4777,6.313385e-02,-1.6694,2.389355e-01,-1.1028
1113.9157,6.158287e-02,-1.6765,2.350373e-01,-1.1101
1130.5999,6.006380e-02,-1.6837,2.311777e-01,-1.1172
1147.5339,5.857571e-02,-1.6910,2.273579e-01,-1.1246
1164.7217,5.711852e-02,-1.6979,2.235754e-01,-1.1322
1182.1668,5.569188e-02,-1.7048,2.198314e-01,-1.1397
1199.8733,5.429541e-02,-1.7115,2.161257e-01,-1.1466
1217.8449,5.292872e-02,-1.7180,2.124631e-01,-1.1542
1236.0857,5.159144e-02,-1.7245,2.088344e-01,-1.1626
1254.5998,5.028316e-02,-1.7306,2.052439e-01,-1.1705
1273.3911,4.900382e-02,-1.7368,2.016914e-01,-1.1780
1292.4639,4.775240e-02,-1.7431,1.981792e-01,-1.1860
1311.8224,4.652876e-02,-1.7490,1.947028e-01,-1.1944
1331.4708,4.533250e-02,-1.7549,1.912644e-01,-1.2012
1351.4135,4.416319e-02,-1.7606,1.878715e-01,-1.2093
1371.6549,4.302041e-02,-1.7662,1.845092e-01,-1.2189
1392.1995,4.190373e-02,-1.7715,1.811846e-01,-1.2273
1413.0518,4.081300e-02,-1.7769,1.778975e-01,-1.2351
1434.2165,3.974729e-02,-1.7823,1.746512e-01,-1.2436
1455.6981,3.870640e-02,-1.7875,1.714393e-01,-1.2529
1477.5015,3.768990e-02,-1.7926,1.682646e-01,-1.2592
1499.6314,3.669736e-02,-1.7975,1.651390e-01,-1.2678
1522.0929,3.572835e-02,-1.8024,1.620397e-01,-1.2789
1544.8907,3.478245e-02,-1.8072,1.589774e-01,-1.2868
1568.0300,3.385921e-02,-1.8118,1.559567e-01,-1.2958
